selected_head_count,token_cases,fraction_of_selected_token_cases,relative_position_mean,relative_position_p05,relative_position_p25,relative_position_p50,relative_position_p75,relative_position_p95,distance_mean,distance_p05,distance_p25,distance_p50,distance_p75,distance_p95,absolute_position_p50,fraction_key_lt_16,fraction_key_lt_64,fraction_key_lt_128,fraction_key_lt_256,fraction_recent_0p01,fraction_recent_0p04,fraction_recent_0p08,fraction_recent_0p12,fraction_recent_0p16
1,1212248,0.5451473597915553,0.6311552323533522,0.06699053009785869,0.40900517924277385,0.70458478933295,0.8872127614471452,0.9718411552346571,481.47366627950714,37.0,144.0,385.0,761.0,1215.0,894.0,0.012201298744151361,0.039236195893909497,0.06912034501191175,0.11539800436874303,0.005990523391253275,0.08473761144584277,0.18497865123308102,0.263191195200982,0.33266130362764057
2,388868,0.17487375809852648,0.7117365291772348,0.11368474408323488,0.5409246049398407,0.8172114743162108,0.942630185348632,0.9845105494582395,378.0765246818972,21.0,74.0,237.0,598.0,1150.0,1015.0,0.009247353857864364,0.025833959081230647,0.0458124607836078,0.07508974767787527,0.022094901097544667,0.185325097462378,0.3161998415914912,0.40326794696400836,0.47140160671487497
3,170085,0.07648714511399209,0.7929420229611465,0.2497628730568355,0.6833084947839047,0.9071550255536627,0.971000935453695,0.9907070946437895,272.6544080900726,13.0,38.0,120.0,415.0,990.0,1089.0,0.005585442572831232,0.014210541787929565,0.02434077079107505,0.04159684863450628,0.056771614192903545,0.32028691536584647,0.46750154334597405,0.5533997707028838,0.6151336096657554
4,99393,0.044696985708998535,0.8436523316212557,0.3510464611376466,0.7922932330827067,0.9461606354810238,0.9810508182601206,0.9937211283271501,206.42831990180395,9.0,25.0,70.0,272.0,868.3999999999942,1139.0,0.0034610083205054683,0.007686658014145866,0.013330918676365539,0.02489108890968177,0.10484641775577758,0.43869286569476723,0.5834917951968448,0.6601873371364181,0.7125049047719658
5,68961,0.03101172951292594,0.880023342790374,0.4266284896206156,0.8739622641509434,0.9678012879484821,0.9863234111021721,0.9957118353344768,158.854903496179,6.0,19.0,42.0,160.0,767.0,1175.0,0.0017546149272777366,0.0037557460013630892,0.007438987253665115,0.015878540044372908,0.1662678905468308,0.5453807224373196,0.6799930395440902,0.74284015603022,0.784834906686388
6,51896,0.023337606977897718,0.9054789818625419,0.5185185185185185,0.9191738306076181,0.9772105742935278,0.9895199775122244,0.9970697759271978,125.40694851240943,5.0,14.0,30.0,106.0,623.25,1205.0,0.0011368891629412671,0.0025242793278865425,0.004374132881146909,0.010058578695853245,0.23612609835054724,0.6325921072915061,0.7485933405272083,0.798905503314321,0.8331663326653307
7,41489,0.018657583935293633,0.9273371186328401,0.5955518945634267,0.949438202247191,0.9832444782939832,0.9920697858842189,0.9981933152664859,96.65689700884572,3.0,11.0,23.0,67.0,542.0,1221.0,0.0005061582588155897,0.0012292414856950036,0.0028923329075176553,0.007182626720335511,0.3191689363445733,0.715876497384849,0.8109860444937212,0.8505145942297958,0.8768830292366652
8,34429,0.015482705230500242,0.9431722591926341,0.6492074431426602,0.9666975023126735,0.9866666666666667,0.9938461538461538,0.9986641725509234,75.80391530395887,3.0,9.0,18.0,43.0,475.0,1231.0,0.0004356792239100758,0.001045630137384182,0.002178396119550379,0.0051700601237328996,0.39838508234337333,0.7778326410874553,0.8576200296261872,0.8883499375526446,0.9094949025530803
9,29491,0.013262088935277893,0.9550262383847461,0.719672131147541,0.9760296773252102,0.9892183288409704,0.995292218688774,0.9992085475610611,60.38364246719338,2.0,7.0,15.0,31.0,370.0,1240.0,0.00044081245125631547,0.000779898952222712,0.0016276152046387033,0.003628225560340443,0.4729917601980265,0.8303211149164151,0.8927130310942322,0.9160082737106235,0.9310637143535316
10,26137,0.011753796700734405,0.9691863575309707,0.8548891421336559,0.9827882960413081,0.9915492957746479,0.9963741841914431,0.9993275954328191,41.65068676588744,2.0,6.0,12.0,23.0,178.0,1257.0,0.00011477981405670123,0.00026781956613230285,0.000650418946321307,0.0022955962811340245,0.566247082679726,0.8847993266250909,0.9286452155947508,0.945058729004859,0.9567662700386426
11,22017,0.009901034623716163,0.979718156469634,0.9408759124087591,0.9868804664723032,0.9934162399414777,0.9972170686456401,1.0,27.675160103556344,1.0,5.0,9.0,18.0,79.0,1272.0,4.54194486078939e-05,0.0002270972430394695,0.0004996139346868329,0.0012263251124131353,0.6561293545896353,0.9281918517509198,0.9590770768042876,0.9688876777035926,0.9756551755461689
12,19242,0.008653118418928393,0.9863150992627203,0.9659763313609467,0.9897285381432531,0.9948364888123924,0.9979657567325161,1.0,19.01683816651076,1.0,4.0,8.0,14.0,44.0,1289.0,0.00015590894917368256,0.00020787859889824343,0.0006236357966947302,0.0007275750961438519,0.7426462945639747,0.9599314000623635,0.9769774451720196,0.9833697120881405,0.9871634965180335
13,17056,0.007670075239228909,0.9904539020170243,0.9788886020011411,0.9917883211678832,0.9960359405265369,0.9985754985754985,1.0,13.258970450281426,1.0,3.0,6.0,12.0,28.0,1302.0,0.0012898686679174483,0.0013484990619136961,0.0013484990619136961,0.0013484990619136961,0.8148452157598499,0.9773686679174484,0.9884498123827392,0.9923780487804879,0.9937265478424016
14,13374,0.0060142815577771715,0.9820054279663155,0.981232573959236,0.9927652733118971,0.9965800273597811,0.9990740740740741,1.0,23.68296695080006,1.0,2.0,5.0,10.0,25.0,1306.0,0.011664423508299685,0.011664423508299685,0.011664423508299685,0.011664423508299685,0.8509047405413489,0.9749513982353821,0.9827276805742485,0.9845969792133992,0.9851951547779273
15,11331,0.005095545411333418,0.8385105620479341,0.0,0.9905692141541198,0.9961977186311787,0.9986953685583823,1.0,204.520518930368,1.0,3.0,6.0,13.0,1349.0,1262.0,0.1572676727561557,0.1572676727561557,0.1572676727561557,0.1572676727561557,0.7609213661636219,0.8356720501279675,0.8407024975730297,0.8414967787485659,0.8416732856764628
16,17690,0.007955184743313755,0.3858244131294719,0.0,0.0,0.0,0.9966216216216216,1.0,788.6750141322781,1.0,5.0,1123.0,1331.75,1495.0,0.0,0.6126625211984171,0.6126625211984171,0.6126625211984171,0.6126625211984171,0.3665912945166761,0.38552854720180896,0.3865460712266817,0.38660260033917465,0.3866591294516676
