variant,correct,mask,span,metric,hit_count,query_count,coverage
compact_kv,0,current,key,all,0,56448,0.0
compact_kv,0,current,key,any,11149,56448,0.1975092120181406
compact_kv,0,current,label,all,3013,56448,0.0533765589569161
compact_kv,0,current,label,any,3013,56448,0.0533765589569161
compact_kv,0,current,record,all,0,56448,0.0
compact_kv,0,current,record,any,14549,56448,0.2577416383219955
compact_kv,0,final,key,all,1,56448,1.7715419501133787e-05
compact_kv,0,final,key,any,10316,56448,0.18275226757369614
compact_kv,0,final,label,all,5780,56448,0.10239512471655329
compact_kv,0,final,label,any,5780,56448,0.10239512471655329
compact_kv,0,final,record,all,1,56448,1.7715419501133787e-05
compact_kv,0,final,record,any,13515,56448,0.23942389455782312
compact_kv,0,union,key,all,1,56448,1.7715419501133787e-05
compact_kv,0,union,key,any,19467,56448,0.34486607142857145
compact_kv,0,union,label,all,8682,56448,0.15380527210884354
compact_kv,0,union,label,any,8682,56448,0.15380527210884354
compact_kv,0,union,record,all,1,56448,1.7715419501133787e-05
compact_kv,0,union,record,any,24216,56448,0.4289965986394558
compact_kv,1,current,key,all,0,123648,0.0
compact_kv,1,current,key,any,37350,123648,0.3020671583850932
compact_kv,1,current,label,all,15432,123648,0.12480590062111802
compact_kv,1,current,label,any,15432,123648,0.12480590062111802
compact_kv,1,current,record,all,0,123648,0.0
compact_kv,1,current,record,any,49761,123648,0.402440799689441
compact_kv,1,final,key,all,219,123648,0.0017711568322981367
compact_kv,1,final,key,any,32076,123648,0.2594138198757764
compact_kv,1,final,label,all,13133,123648,0.10621279761904762
compact_kv,1,final,label,any,13133,123648,0.10621279761904762
compact_kv,1,final,record,all,29,123648,0.00023453674948240166
compact_kv,1,final,record,any,43087,123648,0.34846499741200826
compact_kv,1,union,key,all,474,123648,0.0038334627329192545
compact_kv,1,union,key,any,53421,123648,0.4320409549689441
compact_kv,1,union,label,all,24313,123648,0.1966307582815735
compact_kv,1,union,label,any,24313,123648,0.1966307582815735
compact_kv,1,union,record,all,135,123648,0.00109180900621118
compact_kv,1,union,record,any,67381,123648,0.5449420936853002
json_kv,0,current,key,all,3,79296,3.7832929782082326e-05
json_kv,0,current,key,any,16859,79296,0.21260845439870862
json_kv,0,current,label,all,6862,79296,0.0865365213882163
json_kv,0,current,label,any,6862,79296,0.0865365213882163
json_kv,0,current,record,all,0,79296,0.0
json_kv,0,current,record,any,41504,79296,0.523405972558515
json_kv,0,final,key,all,0,79296,0.0
json_kv,0,final,key,any,15057,79296,0.1898834745762712
json_kv,0,final,label,all,6369,79296,0.08031930992736078
json_kv,0,final,label,any,6369,79296,0.08031930992736078
json_kv,0,final,record,all,0,79296,0.0
json_kv,0,final,record,any,36765,79296,0.4636425544794189
json_kv,0,union,key,all,6,79296,7.566585956416465e-05
json_kv,0,union,key,any,27425,79296,0.3458560330912026
json_kv,0,union,label,all,11675,79296,0.14723315173527038
json_kv,0,union,label,any,11675,79296,0.14723315173527038
json_kv,0,union,record,all,0,79296,0.0
json_kv,0,union,record,any,55616,79296,0.7013720742534302
json_kv,1,current,key,all,5,132608,3.770511583011583e-05
json_kv,1,current,key,any,27208,132608,0.2051761583011583
json_kv,1,current,label,all,12925,132608,0.09746772442084942
json_kv,1,current,label,any,12925,132608,0.09746772442084942
json_kv,1,current,record,all,0,132608,0.0
json_kv,1,current,record,any,70738,132608,0.5334368967181468
json_kv,1,final,key,all,0,132608,0.0
json_kv,1,final,key,any,23978,132608,0.18081865347490347
json_kv,1,final,label,all,12956,132608,0.09770149613899613
json_kv,1,final,label,any,12956,132608,0.09770149613899613
json_kv,1,final,record,all,0,132608,0.0
json_kv,1,final,record,any,63606,132608,0.4796543194980695
json_kv,1,union,key,all,9,132608,6.78692084942085e-05
json_kv,1,union,key,any,44577,132608,0.33615618967181465
json_kv,1,union,label,all,21804,132608,0.16442446911196912
json_kv,1,union,label,any,21804,132608,0.16442446911196912
json_kv,1,union,record,all,0,132608,0.0
json_kv,1,union,record,any,94021,132608,0.7090145390926641
needle_sentence,0,current,key,all,5,114240,4.376750700280112e-05
needle_sentence,0,current,key,any,25295,114240,0.22141981792717086
needle_sentence,0,current,label,all,17083,114240,0.1495360644257703
needle_sentence,0,current,label,any,17083,114240,0.1495360644257703
needle_sentence,0,current,record,all,0,114240,0.0
needle_sentence,0,current,record,any,75224,114240,0.6584733893557423
needle_sentence,0,final,key,all,0,114240,0.0
needle_sentence,0,final,key,any,23207,114240,0.20314250700280112
needle_sentence,0,final,label,all,19154,114240,0.16766456582633052
needle_sentence,0,final,label,any,19154,114240,0.16766456582633052
needle_sentence,0,final,record,all,0,114240,0.0
needle_sentence,0,final,record,any,75454,114240,0.6604866946778711
needle_sentence,0,union,key,all,10,114240,8.753501400560224e-05
needle_sentence,0,union,key,any,38200,114240,0.33438375350140054
needle_sentence,0,union,label,all,27250,114240,0.23853291316526612
needle_sentence,0,union,label,any,27250,114240,0.23853291316526612
needle_sentence,0,union,record,all,0,114240,0.0
needle_sentence,0,union,record,any,92135,114240,0.8065038515406162
needle_sentence,1,current,key,all,1,87360,1.1446886446886447e-05
needle_sentence,1,current,key,any,17113,87360,0.19589056776556776
needle_sentence,1,current,label,all,8919,87360,0.10209478021978022
needle_sentence,1,current,label,any,8919,87360,0.10209478021978022
needle_sentence,1,current,record,all,0,87360,0.0
needle_sentence,1,current,record,any,53818,87360,0.6160485347985348
needle_sentence,1,final,key,all,0,87360,0.0
needle_sentence,1,final,key,any,15551,87360,0.17801053113553114
needle_sentence,1,final,label,all,10059,87360,0.11514423076923076
needle_sentence,1,final,label,any,10059,87360,0.11514423076923076
needle_sentence,1,final,record,all,0,87360,0.0
needle_sentence,1,final,record,any,52864,87360,0.6051282051282051
needle_sentence,1,union,key,all,4,87360,4.578754578754579e-05
needle_sentence,1,union,key,any,26207,87360,0.2999885531135531
needle_sentence,1,union,label,all,15080,87360,0.17261904761904762
needle_sentence,1,union,label,any,15080,87360,0.17261904761904762
needle_sentence,1,union,record,all,0,87360,0.0
needle_sentence,1,union,record,any,67997,87360,0.7783539377289377
topic_table,0,current,key,all,3,107072,2.8018529587567245e-05
topic_table,0,current,key,any,19357,107072,0.18078489240884638
topic_table,0,current,label,all,5571,107072,0.05203040944411237
topic_table,0,current,label,any,5571,107072,0.05203040944411237
topic_table,0,current,record,all,0,107072,0.0
topic_table,0,current,record,any,54160,107072,0.5058278541542139
topic_table,0,final,key,all,2,107072,1.8679019725044828e-05
topic_table,0,final,key,any,17028,107072,0.15903317393903169
topic_table,0,final,label,all,5037,107072,0.0470431111775254
topic_table,0,final,label,any,5037,107072,0.0470431111775254
topic_table,0,final,record,all,0,107072,0.0
topic_table,0,final,record,any,48392,107072,0.45195756126718467
topic_table,0,union,key,all,15,107072,0.00014009264793783622
topic_table,0,union,key,any,30857,107072,0.28818925582785415
topic_table,0,union,label,all,9632,107072,0.0899581589958159
topic_table,0,union,label,any,9632,107072,0.0899581589958159
topic_table,0,union,record,all,0,107072,0.0
topic_table,0,union,record,any,71978,107072,0.6722392408846384
topic_table,1,current,key,all,37,104384,0.00035446045370938074
topic_table,1,current,key,any,26605,104384,0.2548762262415696
topic_table,1,current,label,all,10840,104384,0.10384733292458614
topic_table,1,current,label,any,10840,104384,0.10384733292458614
topic_table,1,current,record,all,0,104384,0.0
topic_table,1,current,record,any,61542,104384,0.5895731146535867
topic_table,1,final,key,all,46,104384,0.000440680564071122
topic_table,1,final,key,any,26103,104384,0.2500670600858369
topic_table,1,final,label,all,11416,104384,0.10936541998773758
topic_table,1,final,label,any,11416,104384,0.10936541998773758
topic_table,1,final,record,all,0,104384,0.0
topic_table,1,final,record,any,64470,104384,0.6176233905579399
topic_table,1,union,key,all,150,104384,0.0014370018393623544
topic_table,1,union,key,any,40182,104384,0.3849440527283875
topic_table,1,union,label,all,18178,104384,0.1741454629061925
topic_table,1,union,label,any,18178,104384,0.1741454629061925
topic_table,1,union,record,all,0,104384,0.0
topic_table,1,union,record,any,80867,104384,0.77470685162477
